id,name,now_cost,position,team,ep_this,influence_rank,news,bonus,expected_goal_involvements_per_90,web_name,points_per_game_rank_type,creativity_rank_type,form_rank,event_points,total_points,goals_conceded,value_season,cost_change_start,goals_scored,corners_and_indirect_freekicks_order,form_rank_type,in_dreamteam,ict_index_rank,transfers_in_event,saves,expected_assists,now_cost_rank,selected_rank,transfers_in,expected_goal_involvements,news_added,penalties_order,form,minutes,threat,now_cost_rank_type,ict_index,expected_assists_per_90,yellow_cards,starts_per_90,cost_change_event_fall,chance_of_playing_this_round,assists,threat_rank,transfers_out_event,penalties_missed,threat_rank_type,expected_goals_conceded,chance_of_playing_next_round,expected_goals_per_90,own_goals,transfers_out,goals_conceded_per_90,ict_index_rank_type,expected_goals,dreamteam_count,points_per_game,cost_change_start_fall,penalties_saved,value_form,bps,creativity_rank,influence_rank_type,red_cards,selected_by_percent,selected_rank_type,clean_sheets_per_90,starts,influence,ep_next,cost_change_event,creativity,saves_per_90,clean_sheets,direct_freekicks_order,status,points_per_game_rank,expected_goals_conceded_per_90
342,Nathan Aké,50,DEF,Man City,4.0,149,Knock - 75% chance of playing,2,0.24,Aké,24,59,100,0,32,6,6.4,0,2,,28,False,153,3990,0,0.29,177,80,613229,1.43,2023-11-13T01:00:09.634159Z,,3.0,552,126.0,22,32.6,0.05,0,0.98,0,100.0,0,96,37048,0,7,4.80,75.0,0.19,0,635392,0.98,41,1.14,0,3.6,0,0,0.6,141,220,55,0,5.2,30,0.16,6,148.0,2.6,0,52.4,0.0,1,,d,92,0.78
343,Julián Álvarez,71,FWD,Man City,4.0,34,,11,0.53,J.Alvarez,3,1,108,5,66,9,9.3,6,4,2.0,16,False,10,56195,0,2.39,30,10,4189328,5.83,,3.0,3.0,986,287.0,12,96.0,0.22,2,1.1,1,,6,25,112079,0,11,9.07,,0.31,0,1637337,0.82,3,3.44,2,5.5,-6,0,0.4,274,7,4,0,32.1,3,0.46,12,273.4,3.5,-1,399.3,0.0,5,2.0,a,13,0.83
344,Bernardo Veiga de Carvalho e Silva,63,MID,Man City,10.3,47,,8,0.44,Bernardo,8,19,3,7,49,9,7.8,-2,3,,1,False,34,40714,0,2.77,54,119,223363,3.61,2023-09-20T09:00:09.855543Z,,9.3,728,142.0,32,66.4,0.34,2,0.99,0,100.0,3,72,6029,0,44,7.97,100.0,0.1,0,456404,1.11,24,0.84,2,5.4,2,0,1.5,218,25,16,0,2.4,34,0.25,8,252.2,9.8,0,268.9,0.0,2,,a,15,0.99
345,Oscar Bobb,44,MID,Man City,2.3,354,,0,1.07,Bobb,81,134,217,0,10,1,2.3,-1,0,,102,False,350,382,0,0.62,546,487,7209,0.62,,,1.3,52,8.0,304,8.1,1.07,0,0.0,0,,2,361,349,0,182,0.36,,0.0,0,5605,1.73,158,0.00,0,2.5,1,0,0.3,39,243,155,0,0.1,165,0.0,0,29.0,1.8,0,44.3,0.0,0,,a,184,0.62
346,João Cancelo,58,DEF,Man City,0.0,734,Season-long loan to Barcelona,0,0.0,Cancelo,240,241,722,0,0,0,0.0,-2,0,,238,False,734,0,0,0.00,72,168,23685,0.00,2023-09-01T21:47:31.722632Z,,0.0,0,0.0,5,0.0,0.0,0,0.0,0,0.0,0,734,876,0,241,0.00,0.0,0.0,0,269425,0.0,241,0.00,0,0.0,2,0,0.0,0,734,241,0,1.1,66,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,733,0.0
347,Scott Carson,39,GKP,Man City,1.0,454,,0,0.0,Carson,29,10,360,0,0,0,0.0,-1,0,,26,False,460,166,0,0.00,710,424,5251,0.00,,,0.0,0,0.0,68,0.0,0.0,0,0.0,0,,0,410,157,0,3,0.00,,0.0,0,5272,0.0,29,0.00,0,0.0,1,0,0.0,0,435,29,0,0.1,63,0.0,0,0.0,0.5,0,0.0,0.0,0,,a,465,0.0
348,Shea Charles,45,MID,Man City,0.0,648,Permanent Transfer to Southampton,0,0.0,Charles,266,260,597,0,0,0,0.0,0,0,,227,False,654,0,0,0.00,421,741,0,0.00,2023-07-11T09:00:10.230763Z,,0.0,0,0.0,243,0.0,0.0,0,0.0,0,0.0,0,634,0,0,255,0.00,0.0,0.0,0,36,0.0,263,0.00,0,0.0,0,0,0.0,0,644,259,0,0.0,319,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,658,0.0
349,Kevin De Bruyne,102,MID,Man City,0.0,437,Hamstring injury - Expected back 16 Dec,0,0.73,De Bruyne,216,171,740,0,1,0,0.1,-3,0,1.0,321,False,421,787,0,0.16,4,142,11333,0.18,2023-08-12T08:00:06.610027Z,4.0,0.0,22,1.0,2,2.2,0.65,0,4.09,0,0.0,0,408,1555,0,206,0.10,0.0,0.08,0,1286037,0.0,195,0.02,0,1.0,3,0,0.0,4,328,203,0,1.6,42,0.0,1,2.4,0.0,0,18.8,0.0,0,1.0,i,435,0.41
350,Rúben Gato Alves Dias,55,DEF,Man City,3.0,138,,1,0.1,Rúben,56,61,170,0,27,10,4.9,0,0,,58,False,186,12174,0,0.56,98,54,510426,0.93,,,2.0,825,69.0,7,27.9,0.06,0,0.98,0,,0,161,21934,0,30,9.28,,0.04,1,570469,1.09,54,0.37,0,2.7,0,0,0.4,152,223,50,0,7.4,16,0.33,9,157.2,2.5,0,51.3,0.0,3,,a,171,1.01
352,Ederson Santana de Moraes,55,GKP,Man City,4.3,107,Foot injury - 75% chance of playing,0,0.0,Ederson M.,11,4,80,1,37,11,6.7,0,0,,6,False,250,4803,19,0.02,95,16,878474,0.02,2023-11-15T11:30:09.319940Z,,3.3,990,0.0,3,19.9,0.0,2,1.0,0,,0,728,51711,0,84,10.35,75.0,0.0,0,926393,1.0,18,0.00,0,3.4,0,0,0.6,192,367,18,0,16.7,2,0.36,11,191.4,2.8,0,10.0,1.73,4,,d,104,0.94
